06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
0,116	-0,0460679	-0,0786417	-0,0316747
0,118	-0,0452869	-0,0730158	-0,031758
0,12	-0,0301881	-0,0179554	-0,0580299
0,122	-0,0287709	-0,0413951	-0,0636845
0,124	-0,0493784	-0,0855688	-0,0640601
0,126	-0,0486605	-0,0527988	-0,0632772
0,128	-0,0515076	-0,0195042	-0,047662
0,13	-0,0534938	-0,0365617	-0,0377398
0,132	-0,0583537	-0,0879143	-0,0560471
0,134	-0,0507319	-0,0894789	-0,0678343
0,136	-0,0213218	-0,0488008	-0,048044
0,138	-0,0374606	-0,0240525	-0,0616088
0,14	-0,0678327	-0,0658919	-0,0773161
0,142	-0,0518857	-0,0912423	-0,0474845
0,144	-0,0384036	-0,0503021	-0,0442539
0,146	-0,0577928	-0,039565	-0,0694188
0,148	-0,0457185	-0,0848729	-0,0637444
0,15	-0,0284441	-0,0937103	-0,0519919
0,152	-0,0329801	-0,0412564	-0,07376
0,154	-0,0492771	-0,021384	-0,0592317
0,156	-0,0470657	-0,0646726	-0,0428381
0,158	-0,0228151	-0,111406	-0,0719266
0,16	-0,0212504	-0,0805376	-0,0823089
0,162	-0,052149	-0,0229543	-0,0324519
0,164	-0,0523493	-0,0487925	-0,0203866
0,166	-0,010412	-0,0926	-0,0767901
0,168	-0,0103829	-0,0563959	-0,0925402
0,17	-0,0429335	-0,024138	-0,0470673
0,172	-0,031434	-0,0632619	-0,0213671
0,174	-0,0154531	-0,0997258	-0,0597183
0,176	-0,0244611	-0,0677873	-0,0704822
0,178	-0,0357243	-0,0269871	-0,0429537
0,18	-0,0367418	-0,0386731	-0,0413584
0,182	-0,027682	-0,0698077	-0,0747569
0,184	-0,010432	-0,0653266	-0,072411
0,186	-0,0116013	-0,0486881	-0,0534644
0,188	-0,0229843	-0,0589379	-0,0442865
0,19	-0,041606	-0,0656296	-0,0540752
0,192	-0,037735	-0,0483051	-0,0612351
0,194	-0,0258617	-0,02999	-0,0780111
0,196	-0,0195333	-0,0412646	-0,0772967
0,198	-0,0175199	-0,0634228	-0,0509411
0,2	-0,0241103	-0,0604093	-0,0523851
0,202	-0,0351716	-0,0458316	-0,0689726
0,204	-0,0261835	-0,0432294	-0,062701
0,206	-0,0276117	-0,0532585	-0,0606851
0,208	-0,0423316	-0,0390044	-0,0769158
0,21	-0,0287064	-0,0249467	-0,0673655
0,212	-0,0145115	-0,0591971	-0,0495961
0,214	-0,0165773	-0,0611315	-0,0581266
0,216	-0,0276869	-0,0232062	-0,0588638
0,218	-0,0401006	-0,0338426	-0,0528395
0,22	-0,0312882	-0,0624198	-0,0707068
0,222	-0,0112028	-0,0372189	-0,0776923
0,224	-0,0142917	-0,0100346	-0,043797
0,226	-0,0210773	-0,0427945	-0,031548
0,228	-0,0262227	-0,0668831	-0,0753252
0,23	-0,0167002	-0,0392382	-0,0794103
0,232	-0,0117051	-0,0136441	-0,042607
0,234	-0,026482	-0,0246242	-0,049715
0,236	-0,0282846	-0,0572262	-0,0712256
0,238	0,00121401	-0,0499317	-0,0627203
0,24	0,000726552	-0,0294934	-0,0581262
0,242	-0,0333707	-0,0376336	-0,055625
0,244	-0,0387143	-0,0417007	-0,0558126
0,246	-0,00411709	-0,0476801	-0,0594344
0,248	-0,00052429	-0,0397594	-0,0611903
0,25	-0,0323491	-0,0261971	-0,0463357
0,252	-0,0289368	-0,0484603	-0,0529875
0,254	0,00630364	-0,0725017	-0,0732867
0,256	-0,0218941	-0,0416108	-0,0681289
0,258	-0,0530047	-0,0246186	-0,0262733
0,26	-0,0217237	-0,0552402	-0,0317099
0,262	-0,010425	-0,0646978	-0,0866923
0,264	-0,0303963	-0,0523222	-0,0833351
0,266	-0,0242419	-0,051884	-0,0234141
0,268	-0,0343073	-0,0615953	-0,0452331
0,27	-0,03269	-0,0636752	-0,0881707
0,272	-0,0179509	-0,0596679	-0,056775
0,274	-0,0396757	-0,04949	-0,0270535
0,276	-0,0371493	-0,0557733	-0,0661883
0,278	-0,0154827	-0,0674662	-0,0743708
0,28	-0,0270018	-0,0590322	-0,0612451
0,282	-0,0329567	-0,0638119	-0,0629544
0,284	-0,0253069	-0,0589416	-0,0639123
0,286	-0,030504	-0,0530692	-0,0495456
0,288	-0,0267859	-0,0829732	-0,0572762
0,29	-0,0306136	-0,0736961	-0,0749051
0,292	-0,0360638	-0,0325557	-0,0735049
0,294	-0,015082	-0,064042	-0,058371
0,296	-0,0127001	-0,0911003	-0,0581706
0,298	-0,0400883	-0,0495744	-0,0654286
0,3	-0,0270569	-0,0485086	-0,0587597
0,302	-0,0158579	-0,0827778	-0,0536651
0,304	-0,0414454	-0,0691386	-0,0669594
0,306	-0,0212902	-0,0476526	-0,0585785
0,308	-0,00621003	-0,0588345	-0,0486128
0,31	-0,0364438	-0,0657557	-0,0615904
0,312	-0,0289347	-0,0615198	-0,068217
0,314	-0,0262853	-0,0719799	-0,0483646
0,316	-0,0334013	-0,0604894	-0,0380777
0,318	-0,0164162	-0,0490994	-0,0626158
0,32	-0,0321241	-0,0674188	-0,0746861
0,322	-0,0427539	-0,0684191	-0,0493521
0,324	-0,0197675	-0,050589	-0,044043
0,326	-0,0272868	-0,0540212	-0,0646027
0,328	-0,040842	-0,0641585	-0,052867
0,33	-0,0364414	-0,0690711	-0,0538813
0,332	-0,0248758	-0,0582034	-0,0728912
0,334	-0,0245218	-0,0511722	-0,0441124
0,336	-0,0428894	-0,0529236	-0,0314553
0,338	-0,0322459	-0,0559365	-0,0769888
0,34	-0,0238197	-0,0544287	-0,0814196
0,342	-0,0421843	-0,0434868	-0,0390345
0,344	-0,034643	-0,060191	-0,0300009
0,346	-0,0195409	-0,0624385	-0,0617473
0,348	-0,0278283	-0,045284	-0,0697527
0,35	-0,0345436	-0,0540838	-0,0537481
0,352	-0,0289736	-0,0523065	-0,0520879
0,354	-0,0255943	-0,0371691	-0,0591014
0,356	-0,0223117	-0,0445765	-0,0561859
0,358	-0,0262987	-0,0652339	-0,0441042
0,36	-0,0314191	-0,0560451	-0,0470068
0,362	-0,020537	-0,0426355	-0,0591072
0,364	-0,0141319	-0,0448596	-0,0675516
0,366	-0,0113311	-0,0483762	-0,0560748
0,368	-0,0129337	-0,0446228	-0,0469193
0,37	-0,02785	-0,0427139	-0,0479846
0,372	-0,0336942	-0,0490839	-0,0686342
0,374	-0,0133428	-0,0667867	-0,0648502
0,376	-0,0179108	-0,0600811	-0,0440264
0,378	-0,0159998	-0,0401865	-0,0420534
0,38	-0,00988881	-0,0376692	-0,0798583
0,382	-0,0174918	-0,0619831	-0,0880315
0,384	-0,0137603	-0,0793388	-0,04923
0,386	-0,0149676	-0,0550822	-0,0317341
0,388	-0,0593737	-0,0260068	-0,0702156
0,39	-0,0390326	-0,0624373	-0,0794666
0,392	0,0189838	-0,107033	-0,0546964
0,394	-0,00181798	-0,0546421	-0,0666772
0,396	-0,0354572	-0,0247	-0,0540288
0,398	-0,0217409	-0,0767141	-0,038082
0,4	-0,0214225	-0,103683	-0,0941846
0,402	-0,0421756	-0,0618896	-0,101867
0,404	-0,0354856	-0,0270276	-0,0104927
0,406	-0,0195879	-0,0766121	-0,0052444
0,408	-0,00577638	-0,115561	-0,113527
0,41	-0,0167598	-0,0736225	-0,104763
0,412	-0,0341352	-0,0289198	-0,0329707
0,414	-0,0210233	-0,0808958	-0,0458108
0,416	-0,0337097	-0,109842	-0,0780546
0,418	-0,0428976	-0,0497174	-0,0590127
0,42	-0,00726852	-0,0592273	-0,0498495
0,422	-0,00816307	-0,107953	-0,0693048
0,424	-0,0368214	-0,0777173	-0,067334
0,426	-0,00328984	-0,0416266	-0,056239
0,428	-0,00706215	-0,0521191	-0,0801055
0,43	-0,059891	-0,0832747	-0,0814473
0,432	-0,0295325	-0,105962	-0,0352373
0,434	0,0198602	-0,0756976	-0,0359707
0,436	-0,0286398	-0,0354429	-0,0841564
0,438	-0,0551927	-0,0660041	-0,0818101
0,44	-0,00886111	-0,106789	-0,0498413
0,442	-0,0125	-0,0531579	-0,0757735
0,444	-0,0361966	-0,0247772	-0,0673957
0,446	-0,0304098	-0,085372	-0,0235676
0,448	-0,0207004	-0,122243	-0,0543464
0,45	-0,023203	-0,0634505	-0,103665
0,452	-0,0348387	-0,0006986	-0,0537391
0,454	-0,04415	-0,0503584	-0,0185095
0,456	-0,0164195	-0,113877	-0,0743746
0,458	-0,0223153	-0,0626695	-0,0997772
0,46	-0,057501	-0,0228329	-0,0376831
0,462	-0,0367005	-0,0853289	-0,0192112
0,464	-0,0119213	-0,0898128	-0,0827091
0,466	-0,0339092	-0,0191241	-0,0962069
0,468	-0,0549707	-0,0363929	-0,0341907
0,47	-0,0548178	-0,0706307	-0,0411854
0,472	-0,0311509	-0,0659523	-0,0915278
0,474	-0,0121535	-0,0627363	-0,0710792
0,476	-0,0414496	-0,0427478	-0,0367146
0,478	-0,0570817	-0,048625	-0,0475021
0,48	-0,017061	-0,061001	-0,0699722
0,482	-0,0272131	-0,0405792	-0,0776085
0,484	-0,0579012	-0,0303811	-0,0664224
0,486	-0,0286456	-0,0650018	-0,0454904
0,488	-0,0330054	-0,0753615	-0,043466
0,49	-0,0525243	-0,0313217	-0,0595969
0,492	-0,0193076	-0,0277152	-0,0605806
0,494	-0,0161271	-0,0702055	-0,0666377
0,496	-0,033879	-0,0649913	-0,0625685
0,498	-0,0434531	-0,0232347	-0,0513177
0,5	-0,0550023	-0,0288574	-0,0502516
0,502	-0,037999	-0,0841717	-0,0614452
0,504	-0,0147234	-0,0828617	-0,0601719
0,506	-0,0196343	-0,0166125	-0,0489701
0,508	-0,0384239	-0,0265176	-0,0559128
0,51	-0,0465439	-0,0932307	-0,0764392
0,512	-0,0189545	-0,0775702	-0,0700878
0,514	-0,0200344	-0,0205447	-0,0459983
0,516	-0,0687349	-0,0376218	-0,0442872
0,518	-0,0615158	-0,100796	-0,0589835
0,52	0,000566397	-0,0971005	-0,0680349
0,522	-0,00534058	-0,0288995	-0,06657
0,524	-0,0668824	-0,0233323	-0,0543448
0,526	-0,0533358	-0,0986221	-0,0526577
0,528	-0,00613378	-0,116091	-0,0797766
0,53	-0,04024	-0,0505166	-0,066116
0,532	-0,0733083	-0,0339085	-0,0164249
0,534	-0,0298235	-0,0969879	-0,0465727
0,536	-0,00295362	-0,115625	-0,12185
0,538	-0,0253488	-0,055412	-0,0733031
0,54	-0,0491614	-0,0310435	0,00234381
0,542	-0,0466641	-0,0880212	-0,0647648
0,544	-0,0241401	-0,135657	-0,117741
0,546	-0,0104228	-0,0842165	-0,0447317
0,548	-0,0303858	-0,0350505	-0,0135424
0,55	-0,0538929	-0,0749804	-0,0707209
0,552	-0,020933	-0,0913171	-0,102243
0,554	0,00893313	-0,0876944	-0,0718287
0,556	-0,0290501	-0,0885386	-0,0385788
0,558	-0,0427264	-0,0635161	-0,0326259
0,56	-0,00732219	-0,0750267	-0,0698372
0,562	-0,00324181	-0,11512	-0,100829
0,564	-0,0331273	-0,075215	-0,0578536
0,566	-0,0204528	-0,025204	-0,0191108
0,568	0,00836822	-0,07623	-0,0697737
0,57	-0,0204996	-0,124136	-0,104079
0,572	-0,0378915	-0,0785302	-0,0546192
0,574	0,0128214	-0,0562541	-0,0164272
0,576	0,00465265	-0,0719269	-0,0521219
0,578	-0,0435639	-0,0610503	-0,0958192
0,58	-0,0178901	-0,073817	-0,0814364
0,582	0,00943476	-0,0929776	-0,0446006
0,584	-0,0234027	-0,0460573	-0,0393814
0,586	-0,0304851	-0,0453227	-0,0541968
0,588	-0,00248246	-0,103724	-0,0671854
0,59	-0,00375344	-0,0891623	-0,0874219
0,592	-0,0226587	-0,0305012	-0,0697617
0,594	-0,0139027	-0,0260358	-0,0288987
0,596	-0,0167547	-0,0896438	-0,0524308
0,598	-0,0155531	-0,0957042	-0,106657
0,6	-0,00231562	-0,0402068	-0,0673078
0,602	-0,0256565	-0,0291128	-0,00351691
0,604	-0,0356972	-0,0673451	-0,0635489
0,606	0,00166428	-0,0846893	-0,109093
0,608	0,0159615	-0,0446692	-0,0583224
0,61	-0,0190449	-0,0266205	-0,0231603
0,612	-0,0498732	-0,0552546	-0,0700001
0,614	-0,0108417	-0,0664869	-0,0818224
0,616	0,0166577	-0,0758562	-0,0401755
0,618	-0,0268786	-0,0394606	-0,0368344
0,62	-0,045098	-0,00916732	-0,0752007
0,622	-0,0068137	-0,0742166	-0,0765771
0,624	0,0298782	-0,0941432	-0,0610505
0,626	0,00475053	-0,032078	-0,0494342
0,628	-0,0494299	-0,00801764	-0,0442648
0,63	-0,0358835	-0,0599404	-0,0561641
0,632	-0,00119492	-0,0975254	-0,0922781
0,634	1,41002e-006	-0,0570196	-0,066434
0,636	-0,02444	-0,000275962	-0,0172491
0,638	-0,0277661	-0,0397373	-0,0608255
0,64	0,00960716	-0,126819	-0,114558
0,642	-0,00190389	-0,0933235	-0,0623844
0,644	-0,0430403	0,0066035	-0,00765001
0,646	-0,0273561	-0,0187003	-0,0584762
0,648	-0,0312285	-0,114215	-0,110784
0,65	-0,0394327	-0,1051	-0,0723858
0,652	0,00286387	-0,0320328	-0,0198385
0,654	-0,0106629	-0,0268379	-0,0498695
0,656	-0,0356209	-0,0946578	-0,0839418
0,658	-0,0242032	-0,13364	-0,0766368
0,66	-0,0348958	-0,0614811	-0,0663922
0,662	-0,0496234	0,000274096	-0,0451681
0,664	-0,0320115	-0,0821017	-0,0327525
0,666	-0,0214503	-0,150821	-0,0807805
0,668	-0,0190495	-0,0800649	-0,0987652
0,67	-0,0279334	-0,0225175	-0,04036
0,672	-0,0451198	-0,0804452	-0,0261958
0,674	-0,0410676	-0,124012	-0,0876423
0,676	-0,0183163	-0,0709378	-0,0951461
0,678	-0,0355897	-0,0484176	-0,0422525
0,68	-0,0555758	-0,10798	-0,0382107
0,682	-0,0208519	-0,116171	-0,0660819
0,684	-0,0082919	-0,0615156	-0,074055
0,686	-0,0304351	-0,0623771	-0,0614257
0,688	-0,0430966	-0,0894183	-0,0620058
0,69	-0,0440815	-0,0860961	-0,0762367
0,692	-0,0147131	-0,0906931	-0,0595433
0,694	-0,00634369	-0,0876396	-0,0324058
0,696	-0,050293	-0,0667724	-0,0545332
0,698	-0,0400079	-0,0853429	-0,0844002
0,7	-0,0057205	-0,102822	-0,0717681
0,702	-0,0307834	-0,0603944	-0,0492426
0,704	-0,0412984	-0,0559265	-0,0454667
0,706	-0,0188997	-0,106598	-0,0547021
0,708	-0,0239693	-0,097458	-0,0795573
0,71	-0,0333217	-0,0701835	-0,0669153
0,712	-0,0310445	-0,0646776	-0,027953
0,714	-0,0313922	-0,0579808	-0,0445185
0,716	-0,0301243	-0,0784323	-0,096168
0,718	-0,0258602	-0,0925188	-0,0813707
0,72	-0,0341583	-0,0776128	-0,0281474
0,722	-0,0210671	-0,0694984	-0,0373942
0,724	-0,0108246	-0,0714872	-0,0800046
0,726	-0,0455085	-0,0641619	-0,0813181
0,728	-0,0464642	-0,0732717	-0,0492448
0,73	-0,00911002	-0,0676462	-0,0464027
0,732	-0,031318	-0,0519552	-0,0728841
0,734	-0,0466326	-0,0723721	-0,0654261
0,736	-0,00309926	-0,0847199	-0,0535788
0,738	-0,0111105	-0,0664267	-0,0654364
0,74	-0,0444685	-0,0477901	-0,0604745
0,742	-0,0308924	-0,0543372	-0,0431491
0,744	-0,00991244	-0,0679032	-0,0689465
0,746	-0,0194059	-0,067756	-0,0862426
0,748	-0,0364751	-0,0558743	-0,0458403
0,75	-0,0141915	-0,0576598	-0,0307939
0,752	0,0157013	-0,0749867	-0,0745143
0,754	-0,0111798	-0,0508336	-0,0781578
0,756	-0,0342246	-0,0257887	-0,038786
0,758	-0,012329	-0,0740485	-0,0587139
0,76	-0,00649528	-0,0871654	-0,0931755
0,762	-0,0159238	-0,0317097	-0,0473809
0,764	-0,0105371	-0,0437609	-0,013957
0,766	-0,00430721	-0,0876169	-0,0704761
0,768	-0,00303509	-0,0716676	-0,109606
0,77	0,00417464	-0,0385464	-0,0613988
0,772	-0,00408659	-0,044535	-0,0205133
0,774	-0,0375571	-0,0690702	-0,0564966
0,776	-0,0221779	-0,0837211	-0,0858206
0,778	0,0188433	-0,0695961	-0,0636378
0,78	0,00669558	-0,0443274	-0,0459248
0,782	-0,0251185	-0,0596049	-0,0548208
0,784	-0,0108854	-0,0839638	-0,0698151
0,786	0,0067251	-0,0744291	-0,0820129
0,788	-0,0137942	-0,0596561	-0,0710288
0,79	-0,0396365	-0,0758083	-0,0398105
0,792	-0,0170012	-0,092714	-0,0408483
0,794	0,0127004	-0,0828642	-0,0882403
0,796	-0,00663466	-0,0599486	-0,0900298
0,798	-0,0282117	-0,0653378	-0,0400162
0,8	-0,013832	-0,0918607	-0,0508499
0,802	-0,00205164	-0,0984097	-0,0986058
0,804	-0,0152478	-0,0736256	-0,0656773
0,806	-0,0274813	-0,0691908	-0,0287865
0,808	-0,0204456	-0,101866	-0,0648745
0,81	0,00775862	-0,100148	-0,0822237
0,812	0,002233	-0,0606649	-0,0655504
0,814	-0,0324524	-0,0635976	-0,0692102
0,816	-0,0261808	-0,103141	-0,0652384
0,818	0,000657195	-0,122606	-0,0467765
0,82	-0,0114324	-0,095744	-0,0520257
0,822	-0,0264063	-0,0494294	-0,0652537
0,824	-0,00941971	-0,0650431	-0,0609669
0,826	0,00396758	-0,121864	-0,0689469
0,828	-0,0229784	-0,10893	-0,0770726
0,83	-0,0345077	-0,0382261	-0,0472453
0,832	-0,00703913	-0,0643064	-0,0327519
0,834	-0,012966	-0,151566	-0,0695353
0,836	-0,0257092	-0,113502	-0,0776746
0,838	-0,00685413	-0,0120275	-0,0627233
0,84	-0,0109094	-0,0622809	-0,0562102
0,842	-0,0355552	-0,136528	-0,0639297
0,844	-0,036395	-0,0933392	-0,0706633
0,846	-0,0212756	-0,0406144	-0,066749
0,848	-0,0162359	-0,0748551	-0,0516179
0,85	-0,0393456	-0,118305	-0,0585883
0,852	-0,0279578	-0,091849	-0,0789012
0,854	-0,00854387	-0,0473217	-0,0670059
0,856	-0,045607	-0,0433273	-0,0638928
0,858	-0,0602651	-0,100345	-0,0724687
0,86	-0,0261815	-0,120377	-0,0511749
0,862	-0,0181832	-0,0577892	-0,0410307
0,864	-0,0410683	-0,0330392	-0,066414
0,866	-0,0526019	-0,0856725	-0,0735219
0,868	-0,0370673	-0,103737	-0,0477764
0,87	-0,0152396	-0,0568798	-0,0560894
0,872	-0,0397354	-0,0274832	-0,0662593
0,874	-0,070486	-0,061206	-0,0487109
0,876	-0,0384698	-0,117215	-0,0469327
0,878	-0,00343365	-0,102166	-0,0570775
0,88	-0,0400725	-0,0167821	-0,0372221
0,882	-0,0642415	-0,00493141	-0,0540221
0,884	-0,013462	-0,0949636	-0,103466
0,886	-0,0063451	-0,126855	-0,0789151
0,888	-0,0486502	-0,03577	-2,08765e-005
0,89	-0,0455027	0,00729985	-0,0121898
0,892	-0,0197444	-0,0744592	-0,0976196
0,894	-0,0218107	-0,127122	-0,118683
0,896	-0,019027	-0,0522211	-0,043071
0,898	-0,0231207	0,0201899	-0,017481
0,9	-0,0351899	-0,0552066	-0,0558848
0,902	-0,0273581	-0,146212	-0,0889644
0,904	-0,00746437	-0,0914111	-0,0736717
0,906	-0,0220752	0,00840147	-0,0465601
0,908	-0,0487245	-0,0172868	-0,0384235
0,91	-0,0290098	-0,122471	-0,0652712
0,912	0,0033368	-0,122937	-0,0881256
0,914	-0,0148583	-0,0150429	-0,0689589
0,916	-0,0459322	-0,0187675	-0,0229079
0,918	-0,0295737	-0,1381	-0,039266
0,92	-0,0067101	-0,136074	-0,0959878
0,922	-0,0174506	-0,00760705	-0,086045
0,924	-0,0378649	-0,0129228	-0,0180587
0,926	-0,0344696	-0,135221	-0,0389082
0,928	-0,00694624	-0,144902	-0,110234
0,93	0,00308375	-0,0571717	-0,0784251
0,932	-0,0316886	-0,0245386	-0,0146437
0,934	-0,051591	-0,0950434	-0,055096
0,936	-0,0122547	-0,148222	-0,102928
0,938	0,0278717	-0,0896715	-0,0669715
0,94	-0,00916469	-0,0229858	-0,0445618
0,942	-0,0512976	-0,0746036	-0,076931
0,944	-0,019951	-0,163803	-0,0775168
0,946	0,0298023	-0,124324	-0,0515773
0,948	0,00791609	-0,0329969	-0,0476794
0,95	-0,0378399	-0,0349023	-0,0598276
0,952	-0,0117838	-0,131424	-0,0911236
0,954	0,0470013	-0,167294	-0,0869092
0,956	0,0142298	-0,0500113	-0,054937
0,958	-0,0457875	-0,0184922	-0,00666317
0,96	-0,0093615	-0,124541	-0,0427561
0,962	0,0308167	-0,167565	-0,127414
0,964	0,00306378	-0,0773468	-0,102777
0,966	0,0104134	-0,0171849	0,0108762
0,968	0,0175315	-0,0993192	-0,011825
0,97	0,00164996	-0,157255	-0,140726
0,972	-0,00939095	-0,0990572	-0,111263
0,974	-0,0109929	-0,0385526	0,013382
0,976	0,016354	-0,0801607	-0,00855968
0,978	0,0114682	-0,133455	-0,118971
0,98	-0,0112516	-0,0917956	-0,11371
0,982	0,0286754	-0,0660981	-0,0325877
0,984	0,0225352	-0,0872426	-0,0392623
0,986	-0,0449756	-0,0868931	-0,0715215
0,988	-0,0240096	-0,0903002	-0,0715494
0,99	0,0254065	-0,104414	-0,0827028
0,992	-0,00665955	-0,0772657	-0,082695
0,994	-0,026314	-0,0615349	-0,0314775
0,996	0,0164876	-0,0985131	-0,0460231
0,998	0,0248955	-0,100713	-0,124562
1	-0,0277535	-0,0643892	-0,0984939
1,002	-0,044175	-0,0537193	-0,0125842
1,004	-0,0107978	-0,089713	-0,0425495
1,006	0,0155248	-0,10944	-0,0980372
1,008	-0,00293854	-0,0628961	-0,0705375
1,01	-0,034511	-0,0437519	-0,0347118
1,012	-0,0102399	-0,0797343	-0,068384
1,014	0,0179619	-0,0922587	-0,0863208
1,016	-0,0169926	-0,0644772	-0,0516746
1,018	-0,0323761	-0,04216	-0,019174
1,02	-0,0224603	-0,0648448	-0,0499825
1,022	-0,0203072	-0,0975582	-0,0977205
1,024	0,00182827	-0,0754668	-0,0694204
1,026	0,0022919	-0,0200178	-0,029011
1,028	-0,0213902	-0,0484188	-0,0484977
1,03	-0,0307107	-0,116018	-0,0779411
1,032	-0,0194099	-0,0800015	-0,0743394
1,034	0,0103688	-0,0249833	-0,0423254
1,036	-0,00995118	-0,057553	-0,0445795
1,038	-0,0641769	-0,0959568	-0,0732606
1,04	-0,0218351	-0,0625523	-0,0718182
1,042	0,0277291	-0,0301334	-0,0568377
1,044	-0,0291559	-0,0690203	-0,046327
1,046	-0,0567744	-0,0916659	-0,0473057
1,048	-0,00538675	-0,0749331	-0,0814482
1,05	-0,00668296	-0,0605645	-0,0885587
1,052	-0,0581974	-0,0625461	-0,0359266
1,054	-0,0510008	-0,0813349	-0,0212136
1,056	0,0114229	-0,0819703	-0,0868828
1,058	-0,0184627	-0,0771206	-0,105597
1,06	-0,0795318	-0,0701978	-0,0392927
1,062	-0,0217481	-0,088463	-0,0186523
1,064	0,02215	-0,0974966	-0,0830417
1,066	-0,0398593	-0,0622529	-0,101669
1,068	-0,0687324	-0,0625702	-0,0334767
1,07	-0,0319265	-0,108776	-0,0295964
1,072	-0,0103989	-0,107161	-0,0867158
1,074	-0,0232894	-0,060571	-0,0840841
1,076	-0,0343268	-0,0709659	-0,0285774
1,078	-0,0173365	-0,117148	-0,0467498
1,08	-0,0101935	-0,109058	-0,0977385
1,082	-0,0334291	-0,0650266	-0,0766058
1,084	-0,0385563	-0,0651115	-0,0295282
1,086	-0,0177607	-0,109704	-0,0498064
1,088	-0,00974527	-0,123436	-0,0838377
1,09	-0,0232751	-0,0855583	-0,0660447
1,092	-0,00769231	-0,0545383	-0,0470284
1,094	0,0107788	-0,0987937	-0,0657629
1,096	-0,0153712	-0,136992	-0,0700136
1,098	-0,0323188	-0,0824427	-0,0564414
1,1	-0,0123468	-0,0517929	-0,0547554
1,102	-0,00259611	-0,107144	-0,0542931
1,104	-0,0131942	-0,131745	-0,0399207
1,106	-0,00969587	-0,0748578	-0,0580613
1,108	0,0088967	-0,0515083	-0,0929154
1,11	-0,00409995	-0,105617	-0,0660478
1,112	-0,0310251	-0,120979	-0,0310324
1,114	-0,00663524	-0,0836618	-0,0419603
1,116	0,00255216	-0,075278	-0,0764763
1,118	-0,024318	-0,101931	-0,0780851
1,12	-0,0104887	-0,108409	-0,053417
1,122	0,0184696	-0,0783791	-0,050249
1,124	-0,00188893	-0,0605627	-0,0736315
1,126	-0,0199785	-0,0892975	-0,0755803
1,128	-6,91628e-005	-0,112436	-0,0508985
1,13	0,0121545	-0,0917931	-0,0463188
1,132	-0,0161257	-0,0652442	-0,0693453
